manageably: 可管理的、可處理的
serves: 服務、供應
obtain: 獲得、取得
handled: 處理、應付
treating: 治療、對待
components: 元件、組件
subtree: 子樹
subexpressions: 子表達式
reflect: 反映、反射
concrete: 具體的、有形的
resemble: 類似、相似
extent: 程度、範圍
helpers: 助手、輔助程式
sort: 類型、分類
factors: 因素、要素
variations: 變化、變異
hence: 因此、所以
dropped: 丟棄、放棄
adapting: 適應、改編
elimination: 消除、排除
sketched: 草擬、概述
carried: 攜帶、運送
transformation: 轉變、轉換
carefully: 小心地、仔細地
preserve: 保存、維護
middle: 中間的、中部的
incorrect: 不正確的、錯誤的
implements: 實現、執行
branches: 分支、枝條
clause: 條款、子句
succeeds: 成功、繼任
elegant: 優雅的、優美的
simplifying: 簡化、使簡單
fold: 摺疊、折疊
transformations: 轉變、轉換
needed: 需要的、必需的
iteration: 迭代、重複
rewritten: 重寫、改寫
second: 第二的、二分之一的
remaining: 剩餘的、殘留的
tail: 尾巴、尾部
iter: 同樣、迭代、反覆
iterative: 迭代的、反覆的
iteratively: 反覆地、迭代地
integrate: 整合、結合
minor: 輕微的、次要的
provides: 提供、供應
classes: 類別、班級
constructor: 建構函數、建構子
destructor: 解構函數、解構子
reading: 閱讀、讀取
anticipate: 預期、預料
later: 較晚的、後來的
simplification: 簡化、簡易化
simple: 簡單的、簡易的
reaches: 到達、抵達
occurs: 發生、出現
facilities: 設施、設備
routine: 例行、公事
anticipating: 預期、預料
future: 未來、將來
extension: 擴展、延伸
coerce: 強制、迫使
beginning: 開始、起初
match: 比賽、匹配
unification: 統一、合一
cross: 交叉、穿越
close to: 接近、靠近
closer: 更近的、更接近的
farther: 更遠的、更遙遠的
distance: 距離、遠距
defined: 定義的、已定義的
characters: 字元、角色
fact: 事實、真相
modify: 修改、更改
exit: 退出、離開
control: 控制、管理
expect: 期待、預期
coerces: 強制、迫使
cast: 投、擲、演員陣容、劇組
abnormal: 異常的、不正常的
ab-: （前綴）離開、否定
exception: 例外、異常
unfamiliar: 不熟悉的、生疏的
salient: 顯著的、突出的
delimiters: 界限符號、分隔符號
signified: 意味著、表示
significance: 重要性、意義
parameters: 單例、單一
communicate: 溝通、交流
accessing: 存取、進入
inequality: 不平等、不等式
equality: 平等、等式
throws: 投擲、拋出
analyzer: 分析器、解析器
so far: 到目前為止、迄今為止
