tutorial: 教程、指導
tutor: 家教、導師
-ial: ...的、...的性質、形容詞後綴
facial: 臉部的、面部的
mediate: 中間的、過渡的
surface: 表面、地表、表層
sur-: 在...上面、超過
super-: 超過、在...之上
front: 前面、前線
font: 字體、字型
specially: 特別地、專門地
suggested: 建議的、推薦的
suggest: 建議、暗示
gest: 帶來、產生
digest: 消化、理解
congest: 擁擠、堵塞
exam: 考試、檢查
reexamine: 重新檢查、重新考察
ex-: 向外、離開、超出
normal: 正常的、常態的
choice: 選擇、選項
branch: 分支、部門
always: 總是、永遠
in addition: 此外、另外
rule: 規則、規律
-ic: ...的、...的性質、形容詞後綴
mismatch: 不匹配、不一致
detected: 檢測到的、發現的
emit: 發出、放出、釋出
emission: 發射、排放
motion: 運動、動作
without: 沒有、無
along with: 與...一起、連同
by so doing: 這樣做、藉此
construction: 建造、構造
represented: 代表的、表示的
-ation: ...的行為、過程、結果，名詞後綴
-or: ...的人或物，名詞後綴
actor: 演員、行動者
limited: 有限的、受限制的
pseudo-: 假的、偽的
-ly: ...地，副詞後綴
specifically: 具體地、特別地
hand: 手、幫助
step: 步驟、階段
one-after-the-other: 一個接一個地、依次地
branching: 分支的、分叉的
-tic: ...的、...的性質、形容詞後綴
hear: 聽、聽到
eat: 吃、食用
ate: 吃了、食用的
eaten: 吃過的、食用過的
secret: 秘密的、機密的
disappear: 消失、消散
shallow: 淺的、膚淺的
format: 格式、版式
sentence: 句子、判決
cor-: 共同、一起
respond: 回應、響應
detailed: 詳細的、精細的
information: 信息、資料
followed: 跟隨的、接著的
defining: 定義、界定
explained: 解釋的、說明的
each: 每個、各自的
conditional: 條件的、假設的
presents: 呈現、展示
issues: 問題、議題
cussed: 咒罵的、固執的
capital: 首都、資本、大寫字母
capitalization: 大寫、資本化
capitalized: 大寫的、資本化的
tree: 樹、樹狀結構
say: 說、講
included: 包含的、包括的
in-: 向內、在...裡面、否定
dis-: 否定、相反、分離
triangle: 三角形、三角
tri-: 三、三倍
multi-: 多、複數
group: 群體、組織
concretely: 具體地、實際地
binary: 二元的、雙重的
ternary: 三元的、三重的
relation: 關係、聯繫
operators: 運算符、操作員
under: 在...下面、在...之下
coercion: 強制、強迫
below: 在...下面、在...之下
declared: 宣布的、聲明的
encoded: 編碼的、加密的
enforced: 強制的、執行的
stored: 存儲的、儲存的
denotes: 表示、指示
compare: 比較、對比
overloading: 重載的、過載的
loading: 加載的、裝載的
overload: 重載、過載
considering: 考慮到、鑑於
evaluating: 評估、評價
possibilities: 可能性、選擇
temporaries: 臨時的、暫時的
stand: 站立、立場
subtitle: 副標題、字幕
subject: 主題、學科、對象
-cal: ...的、...的性質、形容詞後綴
unless: 無...的、沒有...的
forced: 強迫的、被迫的
attached: 附加的、附属的
prepending: 前置的、前置詞的
pending: 待定的、未決的
prepend: 前置、前置詞
flow: 流動、流程
concreteness: 具體性、實在性
crete: 創建、建造
creative: 創造性的、有創意的
con-: 共同、一起、缺點、否定
struct: 建造、構造
gen: 產生、生成
-al: ...的、...的性質、形容詞後綴
uni-: 單一、唯一
-tive: ...的、...的性質、形容詞後綴
sent: 發送、送達
valued: 有價值的、重視的
emitted: 發出、放出、釋出
nonleaf: 非葉子、非終端
where: 哪裡
when: 何時
who: 誰
which: 哪個
what: 什麼
why: 為什麼
how: 如何
choose: 選擇、挑選
offset: 偏移、抵消
index: 索引、指數
-ness: ...的狀態、性質，名詞後綴
prime: 主要的、質數的
bit: 位、少量
safer: 更安全的、更可靠的
debugging: 調試、除錯
confusing: 令人困惑的、混亂的
confuse: 使困惑、混淆
find: 找到、發現
found: 發現、創建
make sense: 有道理、說得通
mix: 混合、混淆
remix: 混合、重新混合
i.e: 也就是說、換句話說
e.g: 例如、舉例來說
sim-: 簡單、簡要
once: 一次、一但
tract: 拉、拖、牽引
solute: 溶解、解決
absolutely: 絕對地、完全地
of course: 當然、自然
course: 課程、過程
splitting: 分割的、分裂的
split: 分割、分裂、平分、分開
organized: 組織的、有組織的、整齊的
origin: 起源、來源
original: 原始的、原本的
messy: 混亂的、凌亂的
mess: 混亂、麻煩
feel like: 感覺、似乎
boring: 無聊的、乏味的
bore: 使厭煩、鑽孔
miss: 錯過、想念
void: 空的、無效的
anyway: 無論如何、反正
nor: 也不、既不
neither ... nor ...: 既不...也不...
either ... or ...: 要麼...要麼...
so: 所以、因此、也是
also: 也、同樣地
pretty: 漂亮的、相當的、非常的
forward: 向前的、前進的、轉發
tricky: 棘手的、麻煩的、狡猾的
little: 小的、少量的、稍微
menu: 菜單、選單
catalog: 目錄、分類
log: 日誌、記錄
program: 程序、程式
programming: 程序設計、編程
logical: 邏輯的、合理的
slow: 慢的、緩慢的
near: 接近的、附近的
almost near: 幾乎接近、差不多
